Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
2,CALL,0,0,0,0,0,0,1,13,3618,128,1,2,0,1148,128,1,3,4,1233,128,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3874,256,1,2,4,1020,256,1,3,7,1105,256,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,6,3874,256,1,2,0,1020,256,1,3,7,1105,256,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,6,3874,256,1,2,4,1020,256,1,3,0,1105,256,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,8,3618,256,1,2,0,764,256,1,3,9,1617,256,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,8,3618,256,1,2,1,764,256,1,3,0,1617,256,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3618,256,1,2,1,764,256,1,3,9,1617,256,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,512,0,0,0,0,0,1,3,3362,256,1,2,5,508,256,1,3,0,2129,256,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3362,256,1,2,5,508,256,1,3,2,2129,512,1,4,0,0,0,0,5,0,0,0,0
2,WAGER,508,0,0,0,0,0,1,3,3362,512,1,2,0,508,256,1,3,2,2129,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,2858,256,1,2,7,1524,256,1,3,13,1617,256,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,4,2858,256,1,2,0,1524,256,1,3,13,1617,256,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,4,2858,256,1,2,7,1524,256,1,3,0,1617,256,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,6,2602,256,1,2,0,1268,256,1,3,1,2129,256,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,6,2602,256,1,2,2,1268,256,1,3,0,2129,256,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,2602,256,1,2,2,1268,256,1,3,1,2129,256,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,1024,0,0,0,0,0,1,1,3114,512,1,2,3,1012,512,1,3,0,1873,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3114,512,1,2,3,1012,512,1,3,11,1873,1024,1,4,0,0,0,0,5,0,0,0,0
2,FOLD,0,0,0,0,0,0,1,1,3114,1024,1,2,0,1012,512,1,3,11,1873,1024,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,2090,512,1,2,10,500,500,1,3,7,3409,512,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,13,2090,512,1,2,10,500,500,1,3,0,3409,512,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,7,3102,512,1,2,0,0,0,0,3,0,2897,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3102,512,1,2,0,0,0,0,3,2,2897,512,1,4,0,0,0,0,5,0,0,0,0
